RT(milliseconds),RT(minutes) - NOT USED BY IMPORT,RI,TIC
120800,2.013333333333333,0.0,0.0
121600,2.026666666666667,0.0,0.0
122400,2.04,0.0,0.0
123200,2.0533333333333332,0.0,0.0
124000,2.066666666666667,0.0,0.0
124800,2.08,0.0,0.0
125600,2.0933333333333333,0.0,0.0
126400,2.1066666666666665,0.0,0.0
127200,2.12,0.0,0.0
128000,2.1333333333333333,0.0,0.0
128800,2.1466666666666665,0.0,0.0
129600,2.16,0.0,0.0
130400,2.1733333333333333,0.0,0.0
131200,2.1866666666666665,0.0,0.0
132000,2.2,0.0,0.0
132800,2.2133333333333334,0.0,0.0
133600,2.2266666666666666,0.0,0.0
134400,2.24,0.0,0.0
135200,2.2533333333333334,0.0,0.0
136000,2.2666666666666666,0.0,0.0
136800,2.28,0.0,0.0
137600,2.2933333333333334,0.0,0.0
138400,2.3066666666666666,0.0,0.0
139200,2.32,0.0,0.0
140000,2.3333333333333335,0.0,0.0
140800,2.3466666666666667,0.0,0.0
141600,2.36,0.0,0.0
142400,2.3733333333333335,0.0,0.0
143200,2.3866666666666667,0.0,0.0
144000,2.4,0.0,0.0
144800,2.4133333333333336,0.0,0.0
145600,2.4266666666666667,0.0,0.0
146400,2.44,0.0,0.0
147200,2.453333333333333,0.0,0.0
148000,2.466666666666667,0.0,0.0
148800,2.48,0.0,0.0
149600,2.493333333333333,0.0,0.0
150400,2.506666666666667,0.0,0.0
151200,2.52,0.0,0.0
152000,2.533333333333333,0.0,0.0
152800,2.546666666666667,0.0,0.0
153600,2.56,0.0,0.0
154400,2.5733333333333333,0.0,0.0
155200,2.5866666666666664,0.0,0.0
156000,2.6,0.0,0.0
156800,2.6133333333333333,0.0,0.0
157600,2.6266666666666665,0.0,0.0
158400,2.64,0.0,0.0
159200,2.6533333333333333,0.0,0.0
160000,2.6666666666666665,0.0,44.0
160800,2.68,0.0,85.0
161600,2.6933333333333334,0.0,116.0
162400,2.7066666666666666,0.0,131.0
163200,2.72,0.0,159.0
164000,2.7333333333333334,0.0,189.0
164800,2.7466666666666666,0.0,215.0
165600,2.76,0.0,233.0
166400,2.7733333333333334,0.0,233.0
167200,2.7866666666666666,0.0,221.0
168000,2.8,0.0,171.0
168800,2.8133333333333335,0.0,122.0
169600,2.8266666666666667,0.0,75.0
170400,2.84,0.0,18.0
171200,2.8533333333333335,0.0,0.0
172000,2.8666666666666667,0.0,0.0
172800,2.88,0.0,0.0
173600,2.8933333333333335,0.0,0.0
174400,2.9066666666666667,0.0,0.0
175200,2.92,0.0,0.0
176000,2.933333333333333,0.0,0.0
176800,2.9466666666666668,0.0,0.0
177600,2.96,0.0,0.0
178400,2.973333333333333,0.0,0.0
179200,2.986666666666667,0.0,0.0
180000,3.0,0.0,0.0
180800,3.013333333333333,0.0,88.0
181600,3.026666666666667,0.0,308.0
182400,3.04,0.0,688.0
183200,3.0533333333333332,0.0,1226.0
184000,3.066666666666667,0.0,1840.0
184800,3.08,0.0,2441.0
185600,3.0933333333333333,0.0,2872.0
186400,3.1066666666666665,0.0,3052.0
187200,3.12,0.0,3009.0
188000,3.1333333333333333,0.0,2832.0
188800,3.1466666666666665,0.0,2614.0
189600,3.16,0.0,2428.0
190400,3.1733333333333333,0.0,2301.0
191200,3.1866666666666665,0.0,2211.0
192000,3.2,0.0,2159.0
192800,3.2133333333333334,0.0,2136.0
193600,3.2266666666666666,0.0,2126.0
194400,3.24,0.0,2115.0
195200,3.2533333333333334,0.0,2063.0
196000,3.2666666666666666,0.0,1935.0
196800,3.28,0.0,1767.0
197600,3.2933333333333334,0.0,1853.0
198400,3.3066666666666666,0.0,2794.0
199200,3.32,0.0,5269.0
200000,3.3333333333333335,0.0,9945.0
200800,3.3466666666666667,0.0,16941.0
201600,3.36,0.0,25415.0
202400,3.3733333333333335,0.0,34007.0
203200,3.3866666666666667,0.0,41261.0
204000,3.4,0.0,46295.0
204800,3.4133333333333336,0.0,49084.0
205600,3.4266666666666667,0.0,50056.0
206400,3.44,0.0,49711.0
207200,3.453333333333333,0.0,48276.0
208000,3.466666666666667,0.0,45865.0
208800,3.48,0.0,42667.0
209600,3.493333333333333,0.0,38989.0
210400,3.506666666666667,0.0,35199.0
211200,3.52,0.0,31619.0
212000,3.533333333333333,0.0,28455.0
212800,3.546666666666667,0.0,25768.0
213600,3.56,0.0,23558.0
214400,3.5733333333333333,0.0,21748.0
215200,3.5866666666666664,0.0,20269.0
216000,3.6,0.0,19068.0
216800,3.6133333333333333,0.0,18097.0
217600,3.6266666666666665,0.0,17330.0
218400,3.64,0.0,16770.0
219200,3.6533333333333333,0.0,16448.0
220000,3.6666666666666665,0.0,16418.0
220800,3.68,0.0,16840.0
221600,3.6933333333333334,0.0,17801.0
222400,3.7066666666666666,0.0,19362.0
223200,3.72,0.0,21549.0
224000,3.7333333333333334,0.0,24696.0
224800,3.7466666666666666,0.0,30712.0
225600,3.76,0.0,42077.0
226400,3.7733333333333334,0.0,60461.0
227200,3.7866666666666666,0.0,89382.0
228000,3.8,0.0,128269.0
228800,3.8133333333333335,0.0,167764.0
229600,3.8266666666666667,0.0,194566.0
230400,3.84,0.0,198660.0
231200,3.8533333333333335,0.0,179183.0
232000,3.8666666666666667,0.0,145714.0
232800,3.88,0.0,112543.0
233600,3.8933333333333335,0.0,87159.0
234400,3.9066666666666667,0.0,69656.0
235200,3.92,0.0,57733.0
236000,3.933333333333333,0.0,48957.0
236800,3.9466666666666668,0.0,42137.0
237600,3.96,0.0,36833.0
238400,3.973333333333333,0.0,32691.0
239200,3.986666666666667,0.0,29475.0
240000,4.0,0.0,26983.0
240800,4.013333333333334,0.0,25075.0
241600,4.026666666666666,0.0,23689.0
242400,4.04,0.0,22769.0
243200,4.053333333333334,0.0,22258.0
244000,4.066666666666666,0.0,22017.0
244800,4.08,0.0,21925.0
245600,4.093333333333334,0.0,21883.0
246400,4.1066666666666665,0.0,21766.0
247200,4.12,0.0,21526.0
248000,4.133333333333334,0.0,21123.0
248800,4.1466666666666665,0.0,20555.0
249600,4.16,0.0,19783.0
250400,4.173333333333333,0.0,18770.0
251200,4.1866666666666665,0.0,17508.0
252000,4.2,0.0,16022.0
252800,4.213333333333333,0.0,14429.0
253600,4.226666666666667,0.0,12847.0
254400,4.24,0.0,11368.0
255200,4.253333333333333,0.0,10091.0
256000,4.266666666666667,0.0,9067.0
256800,4.28,0.0,8355.0
257600,4.293333333333333,0.0,7965.0
258400,4.306666666666667,0.0,7941.0
259200,4.32,0.0,8301.0
260000,4.333333333333333,0.0,9056.0
260800,4.346666666666667,0.0,10183.0
261600,4.36,0.0,11540.0
262400,4.373333333333333,0.0,12986.0
263200,4.386666666666667,0.0,14305.0
264000,4.4,0.0,15254.0
264800,4.413333333333333,0.0,15688.0
265600,4.426666666666667,0.0,15557.0
266400,4.44,0.0,14983.0
267200,4.453333333333333,0.0,14158.0
268000,4.466666666666667,0.0,13272.0
268800,4.48,0.0,12466.0
269600,4.493333333333333,0.0,11752.0
270400,4.506666666666667,0.0,11165.0
271200,4.52,0.0,10703.0
272000,4.533333333333333,0.0,10319.0
272800,4.546666666666667,0.0,10027.0
273600,4.56,0.0,9800.0
274400,4.573333333333333,0.0,9623.0
275200,4.586666666666667,0.0,9490.0
276000,4.6,0.0,9385.0
276800,4.613333333333333,0.0,9318.0
277600,4.626666666666667,0.0,9248.0
278400,4.64,0.0,9202.0
279200,4.653333333333333,0.0,9170.0
280000,4.666666666666667,0.0,9122.0
280800,4.68,0.0,9080.0
281600,4.693333333333333,0.0,9037.0
