RT(milliseconds),RT(minutes) - NOT USED BY IMPORT,RI,TIC
0,0.0,0.0,29.0
1838,0.030633333333333332,0.0,0.0
3676,0.061266666666666664,0.0,0.0
5514,0.0919,0.0,0.0
7352,0.12253333333333333,0.0,0.0
9190,0.15316666666666667,0.0,0.0
11028,0.1838,0.0,0.0
12866,0.21443333333333334,0.0,0.0
14704,0.24506666666666665,0.0,0.0
16542,0.2757,0.0,0.0
18380,0.30633333333333335,0.0,0.0
20218,0.3369666666666667,0.0,0.0
22056,0.3676,0.0,0.0
23894,0.39823333333333333,0.0,0.0
25732,0.4288666666666667,0.0,0.0
27570,0.4595,0.0,0.0
29408,0.4901333333333333,0.0,0.0
31246,0.5207666666666667,0.0,0.0
33084,0.5514,0.0,0.0
34922,0.5820333333333333,0.0,0.0
36760,0.6126666666666667,0.0,0.0
38598,0.6433,0.0,0.0
40436,0.6739333333333334,0.0,0.0
42274,0.7045666666666667,0.0,0.0
44112,0.7352,0.0,2.0
45950,0.7658333333333334,0.0,0.0
47788,0.7964666666666667,0.0,0.0
49626,0.8271,0.0,0.0
51464,0.8577333333333333,0.0,0.0
53302,0.8883666666666666,0.0,0.0
55140,0.919,0.0,0.0
56978,0.9496333333333333,0.0,3.0
58816,0.9802666666666666,0.0,8.0
60654,1.0109,0.0,13.0
62492,1.0415333333333334,0.0,15.0
64330,1.0721666666666667,0.0,0.0
66168,1.1028,0.0,0.0
68006,1.1334333333333333,0.0,0.0
69844,1.1640666666666666,0.0,0.0
71682,1.1947,0.0,0.0
73520,1.2253333333333334,0.0,0.0
75358,1.2559666666666667,0.0,20.0
77196,1.2866,0.0,16.0
79034,1.3172333333333333,0.0,20.0
80872,1.3478666666666668,0.0,5.0
82710,1.3785,0.0,0.0
84548,1.4091333333333333,0.0,0.0
86386,1.4397666666666666,0.0,0.0
88224,1.4704,0.0,0.0
90062,1.5010333333333334,0.0,0.0
91900,1.5316666666666667,0.0,0.0
93738,1.5623,0.0,0.0
95576,1.5929333333333333,0.0,0.0
97414,1.6235666666666666,0.0,5.0
99252,1.6542,0.0,15.0
101090,1.6848333333333334,0.0,5.0
102928,1.7154666666666667,0.0,3.0
104766,1.7461,0.0,0.0
106604,1.7767333333333333,0.0,7.0
108442,1.8073666666666666,0.0,5.0
110280,1.838,0.0,7.0
112118,1.8686333333333334,0.0,10.0
113956,1.8992666666666667,0.0,0.0
115794,1.9299,0.0,0.0
117632,1.9605333333333332,0.0,0.0
119470,1.9911666666666668,0.0,0.0
121308,2.0218,0.0,0.0
123146,2.0524333333333336,0.0,0.0
124984,2.083066666666667,0.0,0.0
126822,2.1137,0.0,11.0
128660,2.1443333333333334,0.0,16.0
130498,2.1749666666666667,0.0,25.0
132336,2.2056,0.0,23.0
134174,2.2362333333333333,0.0,20.0
136012,2.2668666666666666,0.0,23.0
137850,2.2975,0.0,14.0
139688,2.328133333333333,0.0,23.0
141526,2.3587666666666665,0.0,28.0
143364,2.3894,0.0,26.0
145202,2.4200333333333335,0.0,39.0
147040,2.4506666666666668,0.0,32.0
148878,2.4813,0.0,23.0
150716,2.5119333333333334,0.0,31.0
152554,2.5425666666666666,0.0,33.0
154392,2.5732,0.0,34.0
156230,2.603833333333333,0.0,34.0
158068,2.6344666666666665,0.0,26.0
159906,2.6651,0.0,17.0
161744,2.6957333333333335,0.0,27.0
163582,2.726366666666667,0.0,34.0
165420,2.757,0.0,38.0
167258,2.7876333333333334,0.0,47.0
169096,2.8182666666666667,0.0,38.0
170934,2.8489,0.0,36.0
172772,2.8795333333333333,0.0,43.0
174610,2.9101666666666666,0.0,52.0
176448,2.9408,0.0,50.0
178286,2.971433333333333,0.0,60.0
180124,3.002066666666667,0.0,56.0
181962,3.0327,0.0,34.0
183800,3.0633333333333335,0.0,31.0
185638,3.0939666666666668,0.0,29.0
187476,3.1246,0.0,23.0
189314,3.1552333333333333,0.0,37.0
191152,3.1858666666666666,0.0,50.0
192990,3.2165,0.0,49.0
194828,3.247133333333333,0.0,56.0
196666,3.2777666666666665,0.0,61.0
198504,3.3084,0.0,75.0
200342,3.3390333333333335,0.0,82.0
202180,3.369666666666667,0.0,67.0
204018,3.4003,0.0,64.0
205856,3.4309333333333334,0.0,46.0
207694,3.4615666666666667,0.0,41.0
209532,3.4922,0.0,59.0
211370,3.5228333333333333,0.0,73.0
213208,3.5534666666666666,0.0,74.0
215046,3.5841,0.0,89.0
216884,3.614733333333333,0.0,101.0
218722,3.645366666666667,0.0,93.0
220560,3.676,0.0,97.0
222398,3.7066333333333334,0.0,94.0
224236,3.7372666666666667,0.0,78.0
226074,3.7679,0.0,77.0
227912,3.7985333333333333,0.0,83.0
229750,3.8291666666666666,0.0,87.0
231588,3.8598,0.0,84.0
233426,3.890433333333333,0.0,74.0
235264,3.9210666666666665,0.0,79.0
237102,3.9517,0.0,72.0
238940,3.9823333333333335,0.0,75.0
240778,4.012966666666666,0.0,73.0
242616,4.0436,0.0,52.0
244454,4.074233333333333,0.0,53.0
246292,4.104866666666667,0.0,56.0
248130,4.1355,0.0,58.0
249968,4.166133333333334,0.0,61.0
251806,4.196766666666667,0.0,61.0
253644,4.2274,0.0,54.0
255482,4.258033333333334,0.0,69.0
257320,4.288666666666667,0.0,78.0
259158,4.3193,0.0,63.0
260996,4.349933333333333,0.0,73.0
262834,4.380566666666667,0.0,55.0
264672,4.4112,0.0,64.0
266510,4.441833333333333,0.0,81.0
268348,4.472466666666667,0.0,84.0
270186,4.5031,0.0,98.0
272024,4.533733333333333,0.0,102.0
273862,4.5643666666666665,0.0,98.0
275700,4.595,0.0,94.0
277538,4.625633333333333,0.0,108.0
279376,4.656266666666666,0.0,97.0
281214,4.6869,0.0,93.0
283052,4.717533333333333,0.0,85.0
284890,4.748166666666667,0.0,82.0
286728,4.7788,0.0,96.0
288566,4.809433333333334,0.0,111.0
290404,4.840066666666667,0.0,125.0
292242,4.8707,0.0,117.0
294080,4.9013333333333335,0.0,105.0
295918,4.931966666666667,0.0,106.0
297756,4.9626,0.0,111.0
299594,4.993233333333333,0.0,109.0
301432,5.023866666666667,0.0,118.0
303270,5.0545,0.0,109.0
305108,5.085133333333333,0.0,110.0
306946,5.115766666666667,0.0,120.0
308784,5.1464,0.0,131.0
310622,5.177033333333333,0.0,149.0
312460,5.207666666666666,0.0,157.0
314298,5.2383,0.0,151.0
316136,5.268933333333333,0.0,146.0
317974,5.299566666666666,0.0,142.0
319812,5.3302,0.0,124.0
321650,5.360833333333333,0.0,121.0
323488,5.391466666666667,0.0,116.0
325326,5.4221,0.0,107.0
327164,5.452733333333334,0.0,115.0
329002,5.483366666666667,0.0,115.0
330840,5.514,0.0,107.0
332678,5.5446333333333335,0.0,111.0
334516,5.575266666666667,0.0,119.0
336354,5.6059,0.0,122.0
338192,5.636533333333333,0.0,130.0
340030,5.667166666666667,0.0,129.0
